R29,Резистор Р1-12М-0805-0-А-М-АБШК.434110.023 ТУ,1,
VD1,Диод PMEG4010ER Nexperia,1,
VD2,Диод 1N4148W Vishay,1,
VD3,Диод 1N4148W Vishay,1,
VD4,Диод 1N4148W Vishay,1,
VD5,Диод 1N4148W Vishay,1,
VD6,Диод 1N4148W Vishay,1,
VD7,Диод PMEG4010ER Nexperia,1,
VD8,Стабилитрон BZT52C4V7 Diodes Incorporated,1,
VT1,VO617A3X017T Vishay,1,
VT2,VO617A3X017T Vishay,1,
VT3,VO617A3X017T Vishay,1,
VT4,VO617A3X017T Vishay,1,
VT5,Транзистор SQ2364EES-T1_GE3 Vishay,1,
VT6,Транзистор SQ2364EES-T1_GE3 Vishay,1,
XP1,Вилка IDC-10MS  Connfly,1,
XP2,Вилка ГРПМ1-31ШУ-2 Ке0.364.006 ТУ,1,
XP3,Вилка IDC-10MS  Connfly,1,
A1,Выпрямитель входной ГБНК.435314.009,1,
A2,Фильтр выпрямителя ГБНК.468822.009,1,
A3,Фильтр радиопомех B84131M0001G135 Epcos,1,
A4,Устройство коммутации ГБНК.468363.005,1,
QF1,Выключатель автоматический OptiDin BM63-4C32-УХЛ3 КЭАЗ,1,
XP1,Вилка РП10-30Л  ГЕ0.364.004 ТУ,1,
XT1,Клемма НШПИ 2.5–10 КВТ,1,
XT2,Клемма НШПИ 2.5–10 КВТ,1,
XT3,Клемма НШПИ 2.5–10 КВТ,1,
XT4,Клемма НШПИ 2.5–10 КВТ,1,
XT5,Клемма НКИ(н) 6.0–6 КВТ,1,
XT6,Клемма НКИ(н) 6.0–6 КВТ,1,
XT7,Клемма НКИ(н) 6.0–6 КВТ,1,
XT8,Клемма НШПИ 2.5–10 КВТ,1,
XT9,Клемма НШПИ 2.5–10 КВТ,1,
XT10,Клемма НШПИ 2.5–10 КВТ,1,
XT11,Клемма НШПИ 2.5–10 КВТ,1,
XT12,Клемма НКИ(н) 6.0–6 КВТ,1,
XT13,Клемма НКИ(н) 6.0–6 КВТ,1,
XT14,Клемма НКИ(н) 2.5–6 КВТ,1,
XT15,Клемма НКИ(н) 2.5–6 КВТ,1,
XT16,Клемма НКИ(н) 2.5–6 КВТ,1,
XT17,Клемма НКИ(н) 2.5–6 КВТ,1,
XT18,Клемма НКИ(н) 2.5–6 КВТ,1,
XT19,Клемма НКИ(н) 6.0–6 КВТ,1,
XT20,Клемма НКИ(н) 6.0–6 КВТ,1,
XT21,Клемма НКИ(н) 1.5–6 КВТ,1,
XT22,Клемма НКИ(н) 1.5–6 КВТ,1,
XT23,Клемма НКИ(н) 1.5–6 КВТ,1,
XT24,Клемма НКИ(н) 2.5–6 КВТ,1,
XT25,Клемма НКИ(н) 2.5–6 КВТ,1,
XT26,Клемма НКИ(н) 2.5–6 КВТ,1,
XT27,Клемма НКИ(н) 2.5–4 КВТ,1,
XT28,Клемма НКИ(н) 2.5–4 КВТ,1,
XT29,Клемма НКИ(н) 2.5–4 КВТ,1,
XT30,Клемма НКИ(н) 6.0–6 КВТ,1,
XT31,Клемма НКИ(н) 6.0–6 КВТ,1,
XT32,Клемма НКИ(н) 6.0–6 КВТ,1,
K1,Реле КНЕ130 24В  ТУ16-94-БКЖИ.644131.001ТУ,1,
K2,Реле КНЕ130 24В  ТУ16-94-БКЖИ.644131.001ТУ,1,
R1,Резистор SQP20AJB-20 Ом ±5% YAGEO,1,
R2,Резистор SQP20AJB-20 Ом ±5% YAGEO,1,
R3,Резистор SQP20AJB-20 Ом ±5% YAGEO,1,
TA1,Трансформатор тока ГБНК.671231.001,1,
TV1,Трансформатор ТПГ-302-5,1,
TV2,Трансформатор ТПГ-302-5,1,
TV3,Трансформатор ТПГ-302-5,1,
XP1,Клемма K14-00A(H)  DEGSON,1,
XP2,Клемма K14-00A(H)  DEGSON,1,
XP3,Клемма K14-00A(H)  DEGSON,1,
XP4,Клемма K14-00A(H)  DEGSON,1,
XP5,Вилка IDC-10MS  Connfly,1,
XP6,Вилка IDC-10MS  Connfly,1,
XP7,Клемма K14-00A(H)  DEGSON,1,
XP8,Клемма K14-00A(H)  DEGSON,1,
XP9,Клемма K14-00A(H)  DEGSON,1,
K1,Реле КНЕ130 24В  ТУ16-94-БКЖИ.644131.001ТУ,1,
K2,Реле КНЕ130 24В  ТУ16-94-БКЖИ.644131.001ТУ,1,
R1,Резистор SQP20AJB-20 Ом ±5% YAGEO,1,
R2,Резистор SQP20AJB-20 Ом ±5% YAGEO,1,
R3,Резистор SQP20AJB-20 Ом ±5% YAGEO,1,
TA1,Трансформатор тока ГБНК.671231.001,1,
TV1,Трансформатор ТПГ-302-5,1,
